id,z
8e13060816,164
62df3565cd,488
17c5d2464c,528
71a31f4356,565
9c4468a160,739
168f625d62,741
0389fc6012,391
628f1de539,435
1b6919f87c,655
09b7182dc5,678
38c0d9ca8e,394
25e519b494,788
ebe8198105,638
de7af15747,810
9842f69f8d,907
0bed5f2ace,460
519cc2a871,195
c00c4b8814,470
fcbc5cef9d,660
103713e20d,718
bbfb2201ce,751
9ccf50ab0e,110
1f1cc6b3a4,745
62d6a9b673,115
86bc03a8a6,845
d204ea9f09,397
c9ff0d072b,286
8718d851c6,416
d66bb0c151,536
c82ae5f941,706
fdb7d132be,634
f8f7ed86fc,239
81ab8c6bb7,639
4b2af55ae6,841
6a29fbd74b,544
5343d4837c,700
0401ae15d3,457
7d14f8cfe3,469
a562619124,179
938d11586e,449
2eea9d51a4,105
ab7d09443f,514
6d55cabc8d,157
dae96d99b2,126
32afbf53f6,800
3d0f8c81ce,288
bc7e49ee18,746
85cf79a2cb,628
b24d3673e1,945
2444e83809,696
d62ad254c6,493
109bccf6c6,490
b5893fc541,578
babbac4cf9,397
bd4f797d33,313
4e86258646,333
9fe6cf976f,661
2d8a3a262b,455
216aa6275d,637
3cc59342bd,386
e2e4fcf83e,798
05be75afd9,708
d175b3b3cc,491
bb9af788f8,642
9e7d89d4c0,668
9c298b9575,373
db75c6831e,525
eed279a71a,339
ae61c09508,250
1770691c51,813
5701bbfe46,303
5be9925bca,642
a32a4a2256,506
b8236d92ff,236
03511989ac,434
4b522e501e,311
8ab2399b4a,521
9c5c26e2ba,639
253ee294d9,340
6738d474a3,84
c7ab9848b9,338
e82b7a2abb,115
60638605b1,753
9d173ec22a,599
95a87f8ad9,108
b7dc0d87fd,258
e099e54eee,458
824152cf1c,292
58789490d6,109
df32c11fe8,766
1d9f4e875a,740
351ea99ec3,415
93b8ec180f,559
4279e747a0,520
5936740d48,121
659193a103,629
f5c2e66754,790
f646560aa9,938
6ddd6a2ec1,455
c356f76804,638
8dc946b34d,449
84723e7793,437
c56524ded9,316
f4f0fd932e,301
ac64f9de3c,758
9ca520f895,784
fb14beb69f,475
21ec084221,128
802df9bb5e,535
0280db420c,433
a21afccc50,369
340c808130,660
0ea5ea6946,142
1d0c2fa004,611
2f5377ea9d,845
ffb2ad3f94,715
a6ba9b9f91,651
ebf89446f2,392
7ba58ee1be,378
27efc3195e,422
a00d2b180c,584
069035a9b5,514
761eaf3fa4,495
d145884178,552
9d5d4bf0f1,604
86fe531971,766
429bf7c665,727
29beb70925,680
dc4a1c9a30,275
51acfd1399,596
64bfdd0b9a,600
14c6a2d399,597
89e7c93d0c,301
3116a9d54c,887
b92ff69b44,243
e1984bebe3,631
f425a67987,554
7c41f727b9,956
87986259f0,122
f3356c9ee4,595
26808abb2d,310
08640ede7a,723
0a0814464f,665
665e84dc42,273
e6ab700d15,121
9eb4a10b98,581
d885813aa8,510
1c78d88cb8,304
417833daa4,393
7e58c5a1f6,398
19e749d0b1,193
3b05fe7a3f,639
623565cb2c,868
ae51614513,624
fcb49356a5,91
1f6afee5ca,379
4edadcf4c4,391
053a6f6704,559
418a13df5c,539
99d3fbf9f1,204
bebf415bd1,232
e1009fa370,451
0f9beb1453,547
5677f991b7,317
16017c8e02,90
2ebe2eba03,423
751a212e82,362
b448f0fae6,467
960f92cf81,848
45b5f91d83,582
2356ec6570,334
fff6522bd1,431
badc44bb99,746
d9a52dc263,609
b06fe13f54,749
7fadb8efe8,678
34bd0facd2,490
e929ca0e34,776
020376e68e,721
0c19639aeb,677
3c1ed5cc1f,555
c571804a93,566
884cd7af00,346
6f78817a2d,485
84e305da04,502
37df75f3a2,206
04cd9599a3,480
3598c246d7,477
566ac48e00,137
86c675c4fb,678
bfbea83faa,227
6760543d8f,151
5155ad847f,729
7b596fc561,329
bec8f132d0,881
ca6bdbc405,337
ce06c157c1,214
e12aab98e6,353
ad29bc8923,681
a05ae39815,337
502b97b954,704
6ecba60505,752
0eb52aa52a,659
16b2119ffa,558
7e5cdca0b7,502
66fed16154,114
d6cba9f9de,528
a898892737,620
9126bbe228,609
1b2daa0f13,683
d0d908374e,717
9bbb4c7c34,469
57293a65d5,554
78c50b3977,812
53b480e29f,172
a6f4e0f8b5,621
2ae425e5a3,340
54cfa66336,767
1eaf42beee,802
8ce5996371,447
b10fa280bf,291
da94055b53,135
01c033e116,494
4161f35a4f,522
e353ae4dd5,693
813d6ad4ba,383
287b0f197f,294
d67e3a11d8,585
7716aa7b58,311
d7215eb198,793
e0fb508d51,863
055ec918b9,421
0e53e6294a,537
3228f203a3,590
8d9b8d724a,216
67a8e23baa,434
503aba826b,496
b35b1b412b,737
a245c6d001,849
78b2d05419,613
ee0be71990,194
67dfa4bcf5,340
e3349e2125,465
56d025f76c,827
44ccc2d846,913
aeb36c1964,515
ee48914076,585
613fb95edf,616
3ddb2ff7a4,835
89dba191b1,567
308a9348e0,296
58777a8c79,332
c8404c2d4f,288
1313dbf1d7,654
94c2d96e56,172
31a4341eb6,754
13037dfbb2,670
0cf7155eb6,464
91127f8cc2,780
4c7e3c71e6,761
bab30e51b8,333
6b5b7c0ff3,739
42758bb41a,259
d7cf3bf4e9,465
a05da102a2,503
b0a18e86c7,221
894d0e63f5,553
e3cded005d,662
86365721e2,480
bd20d18369,513
c2485cb6c3,605
9c08332067,652
a33e7de189,798
95af8ca744,524
a8bfe7072c,811
66cf41c563,577
8d73c4f678,928
e5b47aa145,577
16a9609841,618
14c16f99d5,415
13483cd62a,472
3ec0423139,753
65e01bd65f,464
964030c032,612
d0cd29a61b,480
27de423ad3,630
ab72556c51,492
c4f2799234,188
ac90c088ee,202
312c4ce754,304
f7e855fc40,431
c78996aa02,266
72e05a5a33,486
fbc9a1149e,513
e45c509f80,339
dae1555fbf,707
e335542c17,505
60698e8fd2,266
f41a025b6c,149
a653a50dc4,198
07a81dccdc,630
2eca5f70b1,406
ef51bbcde7,712
fe11d93a24,670
2da763222e,655
c9695bff51,171
ef654c1b73,946
7019c22c5e,737
868e7a70ae,286
967d30a3fd,574
08dc3c9a23,588
30307d5103,444
0f9b1dbc3f,330
734df57cdf,291
ec88937127,713
b07d4da735,236
e5a8368ee6,785
b9fe322e38,630
b1dc23a427,432
feadf0e85d,462
8620f40403,383
f362d474b7,533
28ad4e60c5,634
e86361f5d1,541
f057258486,263
c2e9f328e3,481
d991b7a689,525
3ed6168b22,542
792929a4c8,251
93196366e1,621
94b4f44698,526
70c8e14243,544
99b602dde4,234
396ae389d8,825
d531fa41aa,315
d2b40a2781,587
ace37eaaf9,814
0c6ec35477,445
59944f0f92,522
d4d964f62d,217
7db7a5fb8f,455
19902af6bd,578
9693c84080,434
ee7ff3b2fe,494
f57cb32d6d,296
7ec97427ca,466
9917602913,494
f1d488759e,778
466030918d,411
8d08955cdf,752
748f8f4106,302
d83a74a082,596
eec46ec66b,204
30787ad7df,373
3cd4d01b7d,605
c202c25557,503
6a105e7555,303
7cbfebdf9d,432
febd1d2a67,211
5673036fa1,787
b172bd2032,398
085e7a048e,270
b0e479668d,617
e813f3d1bf,579
843e8ec44e,351
66cfa202e5,508
f2598805e6,703
7c9c98aa11,629
a39388bd3f,372
27b5526adb,702
07bb074759,478
2f20c083c2,408
0ee8a744eb,531
47398efeb4,463
5fe599e1a5,95
021494f3aa,345
8e7324c8ed,383
edfe5ae3ef,232
28df927e87,340
1bd1c8c771,441
c9f7f4020f,378
5108785aaf,373
7d5c34a95a,492
1435d5602c,712
e6ac2a35cd,506
8db9dc4a62,650
f44f67efae,567
5559e0ceab,584
f43f1e7456,776
25f2e30c66,232
f9645c1acf,628
6c0a545d06,538
e1323691be,713
7e67ef84e1,722
1f3299c2ba,601
2f00b33427,260
437fbb64d4,657
cc4344175e,677
9a4db0d7aa,802
fff4eb4941,693
2f493f72ff,541
7277ef5fef,556
a446aa0ac8,834
8ec207d7df,342
cfcffeda9e,671
22b0774178,469
1d955f8103,709
df8c73e52b,339
4e47ff086f,458
8d839a365b,461
72c2499de9,535
17a6639049,602
be1f425eac,397
9385125b12,266
1d685060b2,432
594712691d,466
136af05158,424
b63b23fdc9,194
a89fc2586a,429
f641699848,552
deec7bb4d9,263
50290e75f9,658
de1142326e,446
7ed79f8f56,789
c7f54785b8,297
14dcf18fb6,599
9c30bb0a5f,232
707f14c59a,790
6baf05d61e,675
fbcd92f03f,417
22e7cc183f,512
999ae650f6,672
212f074587,444
697f80cece,154
9737133eff,104
575d24d81d,843
b194549062,909
7a6d32bcae,300
3a068284ed,431
eb38db5443,442
09f0f1f414,392
457d5edb4c,439
f9a3d103d7,808
84af757738,281
7c2609c66c,88
019afb4b4e,685
6cafc8475b,828
0f6e788cdd,678
a58d3b12bc,221
e3755d5769,228
9a6c280d8d,701
bbf8c7968a,398
70ca8ebf7b,702
bc5382bc71,470
be9ce6a9d7,294
3da64841d8,532
97515a958d,82
89ad7a93d6,362
96857148ca,444
24e98d224a,823
aa56279e8f,265
415eb5b72c,558
b5e1371b3b,325
30cb1002fb,527
675cab373f,645
7f5914b74a,850
57e0cff707,289
d4e9588d7c,377
4f3368a855,682
58f752db3b,417
deaa0ab2b8,570
809ce44053,242
eb4efc4c39,531
7f826d312e,406
444c32935c,807
f7b1bd7c8a,323
387aa87ae2,541
443985b709,667
abd889c82f,563
14a89a1840,343
b8f76a8e5f,428
df56e7aaad,458
47bd268dcd,347
27c035c5ae,489
8e280f2c87,515
1937cfedc5,517
81c77c1b6c,386
1821c518da,674
8d9314a9f4,846
b33771a471,693
2fa330e8fd,252
1cad8c327b,613
ad6fe18943,534
20a4dad0c1,595
885c2a90f5,533
69bb149e2d,222
e7e9165d9b,225
7c0b76979f,117
c5c4479af6,174
23e1bb3ee8,484
e39f959114,732
2993a272be,442
0bdd44d530,445
d4d34af4f7,114
690281a93d,583
c1190c9c37,345
2903f6a1db,520
d1f8ba2f02,378
962348be7a,660
ff8bf1417c,90
287d035464,693
10f24c23af,323
28f865caaa,147
820c4570b1,568
30badffdd5,685
9bf982cf65,716
bebae78c6a,887
f5ffe74512,600
d06f237a79,601
b1be1fa682,95
33887a0ae7,723
a56e87840f,98
5b86544456,277
ee94d2281f,717
4ebed82264,302
5d7424eab2,282
9f224c71b1,605
08993551ae,719
44047c3e10,735
75c7d3b5a8,199
b6ebc3831e,155
99f52af0ea,653
84e23dba29,576
db819c45e5,628
6e1bb2e64a,668
1790f3520c,756
8db0a68a4c,239
595deae139,655
4d1efb19d7,570
13209940d7,475
75d70e2411,530
94b3a9ed9c,831
6698a570b8,397
877d1a7ebe,746
5c9326f1e4,818
7e26f45eb9,770
a8503e0dc8,755
95f6e2b2d1,141
ccfb270edb,503
08173ef66c,391
20c99dee06,675
268d39db25,631
40aaac97b1,551
fb1e8578cf,580
f7dc2b2c9a,834
c80f09bee6,546
d66e51d456,816
f52c144f24,391
a1e32a6815,549
bd51537256,592
0fcbd0567b,789
e683e8ae69,652
5cefe5b52c,176
24a38972a3,106
20b26a6ea7,496
2226df3ca1,745
19bd49e478,758
a854446118,655
f807851f5a,251
e082398595,652
b0a2fe2a63,561
b6bd6424eb,368
548887f17d,525
89097ab99b,671
89a74723fd,472
da0f021c5b,481
6994342067,503
d1c9be7e25,437
c1c5602088,778
4a12baccc4,566
ef060b82b1,823
087192e2ec,797
0cc3c31d1a,235
dc0119712d,458
0be923c49b,354
182ea1798b,268
2f917b1124,566
de08c5a3b7,335
a3e89a273d,663
131ca4b83d,603
82adfbc0f1,130
27c4850501,721
c749d05181,761
903206854b,471
a803fc87d1,336
e7f63a219f,629
5c87971507,867
f566a7cbc6,301
44c8aed146,430
b012e9ebb0,601
ce1f9711bc,762
ce16b0d0bc,333
6f438c26f8,206
38a15dee44,717
f1b1f57aee,421
5e58ed4adb,344
adf2a57778,702
21d01a8e82,264
c92c37ecd7,694
fd5c3c20d6,659
d6471dc0a3,353
1a37af90c1,136
76761b2a41,548
9fd1beec08,781
1b073494ab,624
5bffe3b52f,804
81e9af5ee2,814
a43ca2ef73,661
bb2160921c,191
cd5cd074f1,378
7aebdeb9a7,281
83bb4578eb,386
495a2d3c7c,470
ceb69201df,549
174ebb49df,441
0822e176b2,794
fe801cdc47,706
1af44a9db0,522
a962f4c9b6,625
85c191c52c,691
fba91bfec8,581
e51599adb5,192
2d20ee4eff,711
376e55e566,657
df344e0599,721
e88b8de75c,219
29c033e8e4,431
0937b1df3f,274
4d04dcd959,537
994af8ec2a,830
3c30b8e27b,565
3c1d07fc67,882
16589f0702,705
40a7f422e2,623
7dfdf6eeb8,951
d0eb51a04f,398
a32b0d0cd7,510
057eae4f34,360
3f22f2ef0e,695
6e691f1825,177
135ae076e9,91
486ae46ba0,632
9895f188e8,457
0ad38c8f25,623
e799fcac15,783
af0e101aae,659
e11123ab8b,548
91b91fd79b,274
026b509cd4,150
17d70fee5c,454
843447abe4,576
b6bca345bb,610
851498c095,269
8d3ee9356b,528
01323211a0,577
6cb11aa807,512
0ba541766e,701
9f3b8d0186,469
4c7f2b2c18,516
46dd77ede5,217
30cc3d3982,799
d9457c3b1c,567
66ced55b7d,455
97bd8b22b1,682
ca0d3ea2f5,637
a149b73993,366
11518835a4,644
49f22705ea,549
f6a89b6f89,590
849ccdf3af,757
cbed0283ff,548
5cb2496125,99
b13f0dbc84,704
3de0c773e1,324
f4638e7428,257
99817a653e,252
e8f3e42b14,679
a6ec5aa914,831
c23090da64,376
71d3bf0ea8,803
3fe0ac38f0,385
1c3397d0ef,389
4319885cf1,719
4015200239,376
9d98768f19,791
d12d5894b8,716
90b1ba3bb5,796
35f3cb48d6,415
ddd0be8fd5,88
f409d55fee,780
008a50a2ec,524
ede36de5cc,483
b8f92fbe45,356
17dde2138e,649
3a5e5f4202,198
d998a07370,655
937ea43a65,343
87d58438cc,419
71507ccc96,387
1804a4c064,713
18449e54f8,553
c2ca0ed857,597
7582c0b2e9,673
87afd4b1ca,668
88839f49f9,618
70cef9fcb6,770
4654389112,164
578b502c6d,578
1306fcee4c,177
ee3b4b8c91,586
89165071a4,807
894b9ae774,848
1017084680,512
17113fd0bd,689
dab1d67df7,674
cd5c9532e4,630
547c9d83fd,206
1019e6ed47,300
a5c4007b7b,326
ed60e1c64a,471
65aadb6f53,372
a7a87180a3,502
c9c0097eff,595
9472731dfd,568
590f7ae6e7,227
bcd1e64c58,470
9067effd34,870
18c4cdefec,492
0ec68b2e42,635
358b9acfb5,705
bc5ee94de7,128
2f2e86de0b,671
fbf5c91d9e,690
19cc342b91,344
9747413253,472
cadb46b378,769
09e29fbb74,288
8d2e68312e,743
fdc1ac926a,795
5717740aa6,458
91ea3f1227,366
9b31db4e58,779
186edd93a3,595
0f02cec809,453
7f01757d4c,602
430ef30e87,639
44425dc49d,342
697af33de9,354
17a8b7e7f3,545
b07fc3b87c,356
3ee1cfb6a6,146
9e9ce2e1ce,862
ac460261f4,836
816c9d6d5d,666
0c62dfc234,746
4bc87727b5,305
2b2fc71ee1,251
a07c1fd090,343
1f805e4733,536
d468d401ab,408
5ec4b8eff9,705
9f54d7807c,578
36ad52a2e8,544
077cb8696f,240
3531c9193f,405
4b9b8c2e44,557
0f762f2746,427
2a9190ed84,393
75efad62c1,468
05c33e6854,661
d17eee846e,605
41a4f7424e,371
9b656c339a,522
b981d35c43,598
3dc8ca137c,450
16bee00afc,409
a91bd88bc1,378
e02ae4f371,245
d2aa4238f7,819
c37e74bffc,705
85fe62d2d6,454
3687839ecc,767
065ce5590e,765
90f37a2a28,490
18ea3802ca,432
f170afca54,417
ac7df612ff,614
fbfa863bd4,374
0f9977b1dd,106
abe36055e8,342
6c45d80d1e,334
f5e72111d0,133
89dfb7ba1d,547
505483d249,573
7547289453,382
4d7b42314d,394
d1857e0577,500
b6f907680a,108
676d100540,655
aede306d15,574
ad0e66eabf,392
10e835f9ab,614
2be45a7fa3,851
52fdbf981f,616
675fcfe29a,656
1804b11f9a,532
7f9f13c0d0,500
75e041fbd8,668
e53c2e8771,600
7488e076ca,302
85bca2aade,436
84242f42bc,756
2a5805ad13,145
a633b127fc,781
b0a7056a04,512
a5eedd418a,178
de5a329823,631
09b9330300,842
e7a5e5e55f,227
800daf6ac1,457
c72c5ee731,220
65fe1a0efc,312
63532a858b,490
d538594e14,107
d6437d0c25,291
e9ce8188b9,740
1da21e7498,579
63193879b4,127
d80ead8703,387
b7c462dd1c,707
b521c9ddf3,609
4d684d99cc,324
e0dade9896,277
66c61616cc,690
9ca1ebe351,376
10a1a5b78f,526
06289f69f8,644
ec9ba7900d,584
8c976149d0,648
b6aa5c7ab4,117
f724f78b1a,706
a50ac7d1e2,513
64f41e36f2,697
c58b6277c7,687
9e9f3940a9,405
930c8dd0e4,604
2e8bf3f7b3,687
934cd14205,555
53c79255ba,622
18d013fced,520
bcbe3c0ee2,419
05f09b380c,660
921b60e76d,215
32f4fd66ae,655
e1bd09e50b,427
c78c89577c,236
77420e5628,276
4a5dd4ab45,209
f2fcceee25,731
060f14fcee,480
1ac058f0a4,525
06d3201dd0,510
00cda0328c,564
fcdf2756aa,691
2eae73b03a,726
572cb220d2,635
ff532274cd,380
a8e5845bf9,663
ed20d93bfd,769
22fdf96a54,631
821e0217f0,673
db548fd037,596
d3d19422ca,544
8daa7e48d1,149
eed6c66da4,111
c026a17632,588
0faaf196b4,450
a4c734f1a8,224
1b5a148cd3,820
61b42f8f0e,339
1bebafb9f3,300
23a17b87e7,564
5e95137d5f,308
e8d6412ed8,383
3501da04b2,271
af84304233,261
74f00bb214,743
36b768bfa7,340
64e79513a3,341
1ad2135efa,527
848c9d1a6a,590
7134e4acac,761
359128303c,436
4a8d55bdf5,720
27870bb184,425
b112d9993c,483
4b0bf2f4a1,450
36f9ab3ee0,471
9ea0525027,142
1a72cc3d3e,632
58a51c861e,645
31d35c7c1d,494
0a41de5e3b,449
ff89e5e3cd,340
7e9e46174c,247
8164beeaf5,386
886c96ffb8,583
5081bad441,554
59597a8431,568
ef6229f0db,810
32273eef45,435
6db821bf5f,842
7d0cea3489,407
a89d1999ec,260
740e4ce45d,318
6c793e5879,174
7d8e29261b,433
4db68c7d25,792
3c9931bca2,706
cb2c20898a,798
7a25e51377,729
114d62da56,458
f78361aa48,606
2fe0292eea,422
40e8e14e60,723
b96ef7e302,578
a291ef5d83,728
904f3fc07a,792
b8525600cf,749
83c0564224,108
c352f6069b,530
8a58fe70f8,952
4680bc7373,683
2a6477aee8,290
bf73cacab5,427
b09f0e743d,688
e4d9d1178c,382
ec7522391d,718
537f18bd97,501
e4c8dc59fa,253
40fbc03558,419
3862950849,481
7fc1ce1cb4,234
b9c2f9550a,664
ab767aef7f,659
b9fd9429e3,516
bb455284f1,550
7b79d341cf,596
e045664b46,612
33041df256,835
8329ec9395,625
ddcb1ad560,738
314db606fd,370
e51bea30d0,454
7d8b219e1c,668
e843caea8f,260
4bb8260218,94
3a7bbd73af,82
25a9f40814,637
e63196d890,511
d422a9eb8f,662
05d9351a35,304
fd998a993b,466
01c2045d03,640
27f6632fd1,278
5f1df5e4a8,385
5b2282b51e,577
5a6fa22207,382
c33faa5d81,620
7135ca553a,128
a7b1f4bae1,203
bf00a0ab71,582
b15313d4e8,844
e5a22d144d,520
76d080ed6f,494
77ecd76754,99
bc3f2b82ec,440
f0efea3879,679
084d3ed9c8,317
8d28e714e3,336
c8d70d9c3d,544
43001d32e7,401
ec406285e8,635
a6c2605919,520
46f402dcd5,410
212ba67b51,279
5c28eec331,351
7d48474434,577
02206b234e,828
941d0865da,164
6397715bb4,439
3cb59a4fdc,603
0b176124c4,744
f6c784904d,639
1267729ffd,663
f85054273a,406
40bb5a9cbe,432
774ee8afcf,484
d47c78058a,524
d5023a3662,444
df47f2e681,505
a4e90eef39,463
7e5a6e5013,841
7114209cf0,593
a19dbb48cd,296
363a171d90,542
c2395da60e,188
09152018c4,916
f7e555a0aa,617
7e737a6cc6,557
7b4ccb8113,794
0c600207b1,690
c9ffc53f25,620
93f8f9e663,471
aeebdd4350,836
5446a64ba5,498
80363d0458,315
894b5b40af,320
b461a5b584,365
7ce6463bc8,432
974f5b6876,678
dcca0c8297,428
a8e4e6ddec,590
08bafa2eee,465
7572c78534,418
0d3b5ec2a8,516
8ca104baef,297
8f7b7b9980,478
ac6289352d,96
53de66df2a,464
03be56aa9a,697
89ba98210c,197
04c48c9743,394
02d40993ab,610
a15b73d4bb,429
56ac5605d2,245
5575337f66,445
f3fb95295e,541
debe560cfb,504
e24e9afdd1,232
af71ca4ab3,302
6dba47cc58,692
aba57f0f2c,793
52914952d6,438
5c33b65396,484
571b14e631,509
51e82eaa5b,230
39dd1c43bd,788
6ec6e26ddd,590
60b7303d20,213
cf241124b1,616
c0ffa90c4a,467
51b639314d,318
158765ed16,330
458a05615e,312
8daf098aa9,594
cbd42ee63f,101
6da04e4c20,705
393048bc6c,107
d465b396f2,509
c20c019650,349
70e9442b06,951
5e09ef27a6,543
6306dd3a8e,805
39a5b5f33a,464
71438f26ec,947
78be8270bb,284
da5ab3d506,83
911f05128d,801
9d23bc70b8,724
10833853b3,184
3fc79d2ece,253
7d41b0a6e1,427
c09f4e95e8,635
1401f04c4b,743
52a0f74bfe,310
54629440c9,495
8201005b79,440
2fa889172a,626
702209f0b3,756
31b1314c62,330
876e6423e6,882
9447159eb7,275
f115ca6981,158
263bd9dfd6,370
df8caa8bdf,318
f870e41e88,426
7568a9474e,210
9e966d733c,201
3edc3edf92,330
9fdb6afc56,304
4bd876a71c,306
5e350fa662,441
dcca025cc6,324
fee35c9fa9,496
a18073f2a2,407
75c554378e,569
4514686882,379
f454efbd20,655
17972a6517,813
b540435ae7,923
849f39dcbe,874
d583d291ea,353
2f8b36c386,209
640ceb328a,612
c9a2990f76,530
73a4c6a4bb,518
e358121d19,371
e4159ed1de,520
b8c3ca0fab,81
6d17d3be2d,516
628ab35fe8,567
4fdc882e4b,955
963210b127,421
36bc8044f8,674
b45ad3932e,613
aedad85e8c,392
0deadce8f1,478
2fbde8630d,538
98f91cd1b8,157
e80ac14b0f,247
287aea3a3b,452
6d03f91961,242
438443e0d3,316
bdb45f92c7,193
3c35e3ad94,807
619edf8941,625
06523f9719,572
3a3281b37d,387
4e3ccf37ee,643
2380664922,390
6285015437,164
68d9f77646,646
b4b225aaa8,502
5203d6e046,379
00a3af90ab,531
728917ca07,592
a37249665e,89
d944700bae,348
5d600057f5,310
725a0ae373,264
6dea52e54d,352
c1f92fd149,220
e61d42e6cf,365
90a57bacf0,488
b04c03e3d4,347
7d963e0f5d,551
b39fe87a25,789
06d21d76c4,82
efc705478f,498
ea3cdbd7cd,704
4eccb0cb9d,110
1c6f7aac78,130
9522339a9a,337
7aa7e1b355,498
de51e77a38,424
7b5d5d40fe,362
0ff9f243e5,566
a038a2d781,389
4989c6509e,735
d0e720b57b,73
2da8da57e1,387
9b450671aa,259
a8be31a3c1,266
b9f3886670,763
7ec64d2b8e,339
919157e393,652
a0c156a4c9,562
b9a7c521ac,811
08f3346b8a,307
60b3d0d613,203
17e67f9ce4,807
62e608259a,109
de95e861ac,251
96aeb8d018,336
4b873df7a2,603
6150f39f8d,242
a7a124fff5,825
92c25915f1,484
97adf32d4d,590
553733b17b,442
143eefe05a,285
97a653e83c,301
26ae98fddb,264
0f4637e4b7,218
526d63530a,345
981f73e811,429
e37a3da5b2,480
bfac8e63cb,788
098c5f3e75,457
1751290ca2,737
fba32825cd,722
fa3e7cb3f5,430
5f7c5c59f5,674
9c3383eb85,789
1b9865501f,180
e0c136dc8e,366
52aa9a9703,744
51e8e6bfc4,271
d9fb5b47e2,176
79fed5a697,706
ff238df1c4,700
8e2e3afdb5,572
58edb9b58c,515
58de316918,901
457f80b1c5,933
4d9b845652,309
0ece337a15,356
d7e6e1323a,730
0f7aa746d6,314
d553c91194,445
6153c227de,550
590e32af63,631
fe6e74532c,732
7504d73df8,462
1b71d67404,424
a6625b8937,944
ca84b9e8d4,323
7de09d894b,297
0e63d9a8b4,515
b052410a6a,673
5c7f310937,694
dcbb6474ee,629
668b41c03e,659
8431a87cff,635
432b8b6a71,642
7b9facc0aa,462
fa50e86a72,511
b858ccf692,802
8b4189c2a4,222
0280deb8ae,363
a86acaf330,206
47fd4036e7,354
34b32c5b5d,767
e880e84886,661
1bf062bda2,921
