"","left","right","up","down","id","is_train","is_vertical","mosaic_id","n_images"
"36","14ab406aff","d7099eb334","","a2ad71b576","d53dabc268",1,1,1,96
"37","6e9aceff2f","220066ba05","d53dabc268","450715077f","a2ad71b576",1,1,1,96
"38","60373566f9","f6d6caf753","a2ad71b576","abbc5e8ba1","450715077f",1,1,1,96
"39","2da79e62f9","f841c6dee7","450715077f","8891f0ddcc","abbc5e8ba1",1,1,1,96
"40","96f700aec5","ed5f2675bf","abbc5e8ba1","173073f1c8","8891f0ddcc",1,1,1,96
"41","a2ad71b576","b37ebb4c18","d7099eb334","f6d6caf753","220066ba05",1,1,1,96
"42","450715077f","2bc179b78c","220066ba05","f841c6dee7","f6d6caf753",1,1,1,96
"43","abbc5e8ba1","2ad5cb95c8","f6d6caf753","ed5f2675bf","f841c6dee7",1,1,1,96
"44","8891f0ddcc","c2973c16f1","f841c6dee7","d69d9cf365","ed5f2675bf",1,1,1,96
"45","220066ba05","84af757738","ed0a59bf6f","2bc179b78c","b37ebb4c18",1,1,1,96
"46","f6d6caf753","917ef84e64","b37ebb4c18","2ad5cb95c8","2bc179b78c",1,1,1,96
"47","f841c6dee7","a5d2da8488","2bc179b78c","c2973c16f1","2ad5cb95c8",1,1,1,96
"48","ed5f2675bf","6a79ccb43e","2ad5cb95c8","833ff7ed7e","c2973c16f1",1,1,1,96
"49","","29b0235e9a","859d0acc6d","","034a84a1a9",1,1,1,96
"50","034a84a1a9","b69dd4ba7a","","","29b0235e9a",1,1,1,96
"51","29b0235e9a","6c25735f24","af7d70119d","","b69dd4ba7a",1,1,1,96
"52","2bc179b78c","593c918ee5","84af757738","a5d2da8488","917ef84e64",1,1,1,96
"53","917ef84e64","cfe4dd9f7e","abd466e64b","11005c0470","593c918ee5",1,1,1,96
"54","593c918ee5","e3e92cc747","19112f71b9","c10a04cb9c","cfe4dd9f7e",1,1,1,96
"55","cfe4dd9f7e","a856815b31","1af68faa92","fdd2dc5ce6","e3e92cc747",1,1,1,96
"56","d53dabc268","ed0a59bf6f","","220066ba05","d7099eb334",1,1,1,96
"57","d7099eb334","ef0ca9f5ed","","b37ebb4c18","ed0a59bf6f",1,1,1,96
"58","","","","034a84a1a9","859d0acc6d",1,1,1,96
"59","","b05514e5fe","","b69dd4ba7a","af7d70119d",1,1,1,96
"60","ed0a59bf6f","e6b58b9a6e","","84af757738","ef0ca9f5ed",1,1,1,96
"61","b37ebb4c18","abd466e64b","ef0ca9f5ed","917ef84e64","84af757738",1,1,1,96
"62","2ad5cb95c8","11005c0470","917ef84e64","6a79ccb43e","a5d2da8488",1,1,1,96
"63","c2973c16f1","5b217529e7","a5d2da8488","88bacbc4b9","6a79ccb43e",1,1,1,96
"64","833ff7ed7e","32fe997af3","6a79ccb43e","","88bacbc4b9",1,1,1,96
"65","ef0ca9f5ed","b0869b33ce","","abd466e64b","e6b58b9a6e",1,1,1,96
"66","84af757738","19112f71b9","e6b58b9a6e","593c918ee5","abd466e64b",1,1,1,96
"67","a5d2da8488","c10a04cb9c","593c918ee5","5b217529e7","11005c0470",1,1,1,96
"68","6a79ccb43e","567df9b888","11005c0470","32fe997af3","5b217529e7",1,1,1,96
"69","88bacbc4b9","e9032dee29","5b217529e7","","32fe997af3",1,1,1,96
"70","e6b58b9a6e","05e7f129ee","","19112f71b9","b0869b33ce",1,1,1,96
"71","abd466e64b","1af68faa92","b0869b33ce","cfe4dd9f7e","19112f71b9",1,1,1,96
"72","11005c0470","fdd2dc5ce6","cfe4dd9f7e","567df9b888","c10a04cb9c",1,1,1,96
"73","5b217529e7","826120ef4e","c10a04cb9c","e9032dee29","567df9b888",1,1,1,96
"74","32fe997af3","a85d0a35b4","567df9b888","","e9032dee29",1,1,1,96
"75","b0869b33ce","9d4c306750","","1af68faa92","05e7f129ee",1,1,1,96
"76","19112f71b9","16fb21800b","05e7f129ee","e3e92cc747","1af68faa92",1,1,1,96
"77","c10a04cb9c","852873eb7b","e3e92cc747","826120ef4e","fdd2dc5ce6",1,1,1,96
"78","567df9b888","8b62cdd144","fdd2dc5ce6","a85d0a35b4","826120ef4e",1,1,1,96
"79","e9032dee29","ed0e7d188e","826120ef4e","","a85d0a35b4",1,1,1,96
"80","1af68faa92","9018e08735","9d4c306750","a856815b31","16fb21800b",1,1,1,96
"81","16fb21800b","1511f1de49","0267db6d11","f90d686e01","9018e08735",1,1,1,96
"82","9018e08735","","37f78a8697","2f5377ea9d","1511f1de49",1,1,1,96
"83","05e7f129ee","0267db6d11","","16fb21800b","9d4c306750",1,1,1,96
"84","9d4c306750","37f78a8697","","9018e08735","0267db6d11",1,1,1,96
"85","0267db6d11","","","1511f1de49","37f78a8697",1,1,1,96
"86","e3e92cc747","f90d686e01","16fb21800b","852873eb7b","a856815b31",1,1,1,96
"87","fdd2dc5ce6","2ce1812846","a856815b31","8b62cdd144","852873eb7b",1,1,1,96
"88","826120ef4e","95a7b73906","852873eb7b","ed0e7d188e","8b62cdd144",1,1,1,96
"89","a85d0a35b4","c9a8c9c5bf","8b62cdd144","","ed0e7d188e",1,1,1,96
"90","a856815b31","2f5377ea9d","9018e08735","2ce1812846","f90d686e01",1,1,1,96
"91","852873eb7b","bfac5970fb","f90d686e01","95a7b73906","2ce1812846",1,1,1,96
"92","8b62cdd144","ead48d81ae","2ce1812846","c9a8c9c5bf","95a7b73906",1,1,1,96
"93","ed0e7d188e","","95a7b73906","","c9a8c9c5bf",1,1,1,96
"94","f90d686e01","","1511f1de49","bfac5970fb","2f5377ea9d",1,1,1,96
"95","2ce1812846","","2f5377ea9d","ead48d81ae","bfac5970fb",1,1,1,96
"96","95a7b73906","","bfac5970fb","","ead48d81ae",1,1,1,96
"97","c5d6528a35","fca4d42846","6230e29f51","668cf61ce0","3be0c0be8e",1,0,2,94
"98","","2fecaf1c54","1986fcadda","abd9ba8120","7cf980df36",1,0,2,94
"99","7cf980df36","c2ec2c9de4","0c14b0fe28","cbc5bd4021","2fecaf1c54",1,0,2,94
"100","2fecaf1c54","8a58fe70f8","d639f4c3ae","52ae147d60","c2ec2c9de4",1,0,2,94
"101","c2ec2c9de4","d3e4630469","","8a6090c9ec","8a58fe70f8",1,0,2,94
"102","8a58fe70f8","9a91290888","499237cf6c","7205efa791","d3e4630469",1,0,2,94
"103","d3e4630469","c5d6528a35","dc71cdae70","70afc514d2","9a91290888",1,0,2,94
"104","9a91290888","3be0c0be8e","9472731dfd","4ca0fd980f","c5d6528a35",1,0,2,94
"105","3be0c0be8e","70b7e1c459","34f944baa4","f448297676","fca4d42846",1,0,2,94
"106","fca4d42846","","3ab326340b","d96f1003cf","70b7e1c459",1,0,2,94
"107","14c2834524","971ff26c0d","","da324cbdde","cb36e2e2ae",1,0,2,94
"108","f27a3ca60e","d0bdfc3217","cb36e2e2ae","3768877c25","da324cbdde",1,0,2,94
"109","b174e802d6","1d6f51de05","da324cbdde","de15d35ebc","3768877c25",1,0,2,94
"110","4b366ad75d","","3768877c25","cb6c6c15ce","de15d35ebc",1,0,2,94
"111","4b6bc93e6c","595deae139","de15d35ebc","6230e29f51","cb6c6c15ce",1,0,2,94
"112","9472731dfd","34f944baa4","cb6c6c15ce","3be0c0be8e","6230e29f51",1,0,2,94
"113","4ca0fd980f","f448297676","3be0c0be8e","8299b97f38","668cf61ce0",1,0,2,94
"114","7db7a5fb8f","73d3d08aff","668cf61ce0","","8299b97f38",1,0,2,94
"115","","476bde9dbf","14b50d2c26","eb84dfdf18","0b9874fd4f",1,0,2,94
"116","","c100d07aa9","0b9874fd4f","f40bfdeb45","eb84dfdf18",1,0,2,94
"117","","","eb84dfdf18","f8ba90c991","f40bfdeb45",1,0,2,94
"118","","59dabe134f","f40bfdeb45","1986fcadda","f8ba90c991",1,0,2,94
"119","","0c14b0fe28","f8ba90c991","7cf980df36","1986fcadda",1,0,2,94
"120","","cbc5bd4021","7cf980df36","c4f2855630","abd9ba8120",1,0,2,94
"121","","44d28db2dc","abd9ba8120","61b6c452ad","c4f2855630",1,0,2,94
"122","","6d69267940","c4f2855630","","61b6c452ad",1,0,2,94
"123","abd9ba8120","52ae147d60","2fecaf1c54","44d28db2dc","cbc5bd4021",1,0,2,94
"124","c4f2855630","94500b7464","cbc5bd4021","6d69267940","44d28db2dc",1,0,2,94
"125","61b6c452ad","f9f6588f79","44d28db2dc","","6d69267940",1,0,2,94
"126","","f91af813d6","3d0f8c81ce","5f723327ef","55f1ea73b3",1,0,2,94
"127","59dabe134f","d9d7c77e13","55f1ea73b3","d639f4c3ae","5f723327ef",1,0,2,94
"128","0c14b0fe28","","5f723327ef","c2ec2c9de4","d639f4c3ae",1,0,2,94
"129","cbc5bd4021","8a6090c9ec","c2ec2c9de4","94500b7464","52ae147d60",1,0,2,94
"130","44d28db2dc","ea39579316","52ae147d60","f9f6588f79","94500b7464",1,0,2,94
"131","6d69267940","54629440c9","94500b7464","","f9f6588f79",1,0,2,94
"132","52ae147d60","7205efa791","8a58fe70f8","ea39579316","8a6090c9ec",1,0,2,94
"133","94500b7464","753ac9f3ed","8a6090c9ec","54629440c9","ea39579316",1,0,2,94
"134","f9f6588f79","cd90c05864","ea39579316","","54629440c9",1,0,2,94
"135","4d33311a1e","27838f7f46","","973a14e68f","7dfdf6eeb8",1,0,2,94
"136","a667ba911e","cf5be83765","7dfdf6eeb8","8d0c065461","973a14e68f",1,0,2,94
"137","f91af813d6","f96f608c5a","973a14e68f","b0beff63b4","8d0c065461",1,0,2,94
"138","d9d7c77e13","4aa5b85fb1","8d0c065461","499237cf6c","b0beff63b4",1,0,2,94
"139","","dc71cdae70","b0beff63b4","d3e4630469","499237cf6c",1,0,2,94
"140","8a6090c9ec","70afc514d2","d3e4630469","753ac9f3ed","7205efa791",1,0,2,94
"141","ea39579316","a0e6d8b0a7","7205efa791","cd90c05864","753ac9f3ed",1,0,2,94
"142","54629440c9","0bbaa6d56a","753ac9f3ed","","cd90c05864",1,0,2,94
"143","","14c2834524","","27838f7f46","b2d4c41f68",1,0,2,94
"144","7dfdf6eeb8","f27a3ca60e","b2d4c41f68","cf5be83765","27838f7f46",1,0,2,94
"145","973a14e68f","b174e802d6","27838f7f46","f96f608c5a","cf5be83765",1,0,2,94
"146","8d0c065461","4b366ad75d","cf5be83765","4aa5b85fb1","f96f608c5a",1,0,2,94
"147","b0beff63b4","4b6bc93e6c","f96f608c5a","dc71cdae70","4aa5b85fb1",1,0,2,94
"148","499237cf6c","9472731dfd","4aa5b85fb1","9a91290888","dc71cdae70",1,0,2,94
"149","7205efa791","4ca0fd980f","9a91290888","a0e6d8b0a7","70afc514d2",1,0,2,94
"150","753ac9f3ed","7db7a5fb8f","70afc514d2","0bbaa6d56a","a0e6d8b0a7",1,0,2,94
"151","cd90c05864","5299cd2c33","a0e6d8b0a7","","0bbaa6d56a",1,0,2,94
"152","b2d4c41f68","cb36e2e2ae","","f27a3ca60e","14c2834524",1,0,2,94
"153","27838f7f46","da324cbdde","14c2834524","b174e802d6","f27a3ca60e",1,0,2,94
"154","cf5be83765","3768877c25","f27a3ca60e","4b366ad75d","b174e802d6",1,0,2,94
"155","f96f608c5a","de15d35ebc","b174e802d6","4b6bc93e6c","4b366ad75d",1,0,2,94
"156","4aa5b85fb1","cb6c6c15ce","4b366ad75d","9472731dfd","4b6bc93e6c",1,0,2,94
"157","dc71cdae70","6230e29f51","4b6bc93e6c","c5d6528a35","9472731dfd",1,0,2,94
"158","70afc514d2","668cf61ce0","c5d6528a35","7db7a5fb8f","4ca0fd980f",1,0,2,94
"159","a0e6d8b0a7","8299b97f38","4ca0fd980f","5299cd2c33","7db7a5fb8f",1,0,2,94
"160","0bbaa6d56a","","7db7a5fb8f","","5299cd2c33",1,0,2,94
"161","cb6c6c15ce","5420263191","","34f944baa4","595deae139",1,0,2,94
"162","6230e29f51","3ab326340b","595deae139","fca4d42846","34f944baa4",1,0,2,94
"163","668cf61ce0","d96f1003cf","fca4d42846","73d3d08aff","f448297676",1,0,2,94
"164","8299b97f38","095473ab35","f448297676","f069247787","73d3d08aff",1,0,2,94
"165","","","73d3d08aff","","f069247787",1,0,2,94
"166","971ff26c0d","","","393048bc6c","a0891f7e3e",1,0,2,94
"167","d0bdfc3217","","a0891f7e3e","c24e12d0cf","393048bc6c",1,0,2,94
"168","1d6f51de05","","393048bc6c","e5c26c8634","c24e12d0cf",1,0,2,94
"169","","","c24e12d0cf","5420263191","e5c26c8634",1,0,2,94
"170","595deae139","","e5c26c8634","3ab326340b","5420263191",1,0,2,94
"171","34f944baa4","","5420263191","70b7e1c459","3ab326340b",1,0,2,94
"172","f448297676","","70b7e1c459","095473ab35","d96f1003cf",1,0,2,94
"173","73d3d08aff","","d96f1003cf","","095473ab35",1,0,2,94
"174","cb36e2e2ae","a0891f7e3e","","d0bdfc3217","971ff26c0d",1,0,2,94
"175","0b9874fd4f","ad068f08d1","31f29ada31","c100d07aa9","476bde9dbf",1,0,2,94
"176","476bde9dbf","4d33311a1e","26c403ce6d","3d0f8c81ce","ad068f08d1",1,0,2,94
"177","ad068f08d1","7dfdf6eeb8","3eef3e190f","a667ba911e","4d33311a1e",1,0,2,94
"178","da324cbdde","393048bc6c","971ff26c0d","1d6f51de05","d0bdfc3217",1,0,2,94
"179","eb84dfdf18","3d0f8c81ce","476bde9dbf","","c100d07aa9",1,0,2,94
"180","c100d07aa9","a667ba911e","ad068f08d1","55f1ea73b3","3d0f8c81ce",1,0,2,94
"181","3d0f8c81ce","973a14e68f","4d33311a1e","f91af813d6","a667ba911e",1,0,2,94
"182","3768877c25","c24e12d0cf","d0bdfc3217","","1d6f51de05",1,0,2,94
"183","55f1ea73b3","8d0c065461","a667ba911e","d9d7c77e13","f91af813d6",1,0,2,94
"184","f8ba90c991","5f723327ef","","0c14b0fe28","59dabe134f",1,0,2,94
"185","5f723327ef","b0beff63b4","f91af813d6","","d9d7c77e13",1,0,2,94
"186","1986fcadda","d639f4c3ae","59dabe134f","2fecaf1c54","0c14b0fe28",1,0,2,94
"187","14b50d2c26","26c403ce6d","","476bde9dbf","31f29ada31",1,0,2,94
"188","31f29ada31","3eef3e190f","","ad068f08d1","26c403ce6d",1,0,2,94
"189","26c403ce6d","","","4d33311a1e","3eef3e190f",1,0,2,94
"190","","31f29ada31","","0b9874fd4f","14b50d2c26",1,0,2,94
"191","80363d0458","45a04b7102","cb9d510ceb","","ef654c1b73",1,0,3,93
"192","","4026885307","692207d70f","a62c94394a","b4382ccb5d",1,0,3,93
"193","b4382ccb5d","9efa93ff14","6b0f472ce3","ad292a8043","4026885307",1,0,3,93
"194","4026885307","e981a42d6e","4eff1c1469","0717a21efc","9efa93ff14",1,0,3,93
"195","9efa93ff14","4e50c41f4e","81fd475861","f4e6470f2b","e981a42d6e",1,0,3,93
"196","e981a42d6e","9834bd4034","482e5face0","b3c8b426fb","4e50c41f4e",1,0,3,93
"197","4e50c41f4e","76ea2b7366","70b3951b2f","8f8dcb2506","9834bd4034",1,0,3,93
"198","9834bd4034","80363d0458","e50212245b","5b72ade49e","76ea2b7366",1,0,3,93
"199","76ea2b7366","ef654c1b73","fc1b10ee80","43b65acf38","80363d0458",1,0,3,93
"200","ef654c1b73","","bebae78c6a","","45a04b7102",1,0,3,93
"201","a0e0452f1c","","","8561c63d20","d96af7c9cc",1,0,3,93
"202","72ef4718f3","d7eb8b4a95","d96af7c9cc","ce54f2defa","8561c63d20",1,0,3,93
"203","89daaf02d5","2620ab7aa2","8561c63d20","91eca562cd","ce54f2defa",1,0,3,93
"204","aaffa385df","14fecd67d2","ce54f2defa","280c59adc5","91eca562cd",1,0,3,93
"205","28b3d997ce","1825fadf99","91eca562cd","48b8dda801","280c59adc5",1,0,3,93
"206","b4e067c10e","90364abd01","280c59adc5","cb9d510ceb","48b8dda801",1,0,3,93
"207","fc1b10ee80","bebae78c6a","48b8dda801","ef654c1b73","cb9d510ceb",1,0,3,93
"208","","50fc16ff18","","c8b9beec1c","c58edbac0a",1,0,3,93
"209","","e1b367d535","c58edbac0a","81be859449","c8b9beec1c",1,0,3,93
"210","","aafaaa68d6","c8b9beec1c","55d7c2ef8a","81be859449",1,0,3,93
"211","","b959545cfc","81be859449","bc5382bc71","55d7c2ef8a",1,0,3,93
"212","","2a44b1aa4c","55d7c2ef8a","7432950176","bc5382bc71",1,0,3,93
"213","","cef5623670","bc5382bc71","692207d70f","7432950176",1,0,3,93
"214","","6b0f472ce3","7432950176","b4382ccb5d","692207d70f",1,0,3,93
"215","","ad292a8043","b4382ccb5d","3e821f8642","a62c94394a",1,0,3,93
"216","","092d7bc330","a62c94394a","","3e821f8642",1,0,3,93
"217","c58edbac0a","ce1ed41e9a","","e1b367d535","50fc16ff18",1,0,3,93
"218","c8b9beec1c","9ad3911361","50fc16ff18","aafaaa68d6","e1b367d535",1,0,3,93
"219","81be859449","fb131f3cd5","e1b367d535","b959545cfc","aafaaa68d6",1,0,3,93
"220","55d7c2ef8a","193f8f285e","aafaaa68d6","2a44b1aa4c","b959545cfc",1,0,3,93
"221","bc5382bc71","5987f0b196","b959545cfc","cef5623670","2a44b1aa4c",1,0,3,93
"222","7432950176","e2f17cf732","2a44b1aa4c","6b0f472ce3","cef5623670",1,0,3,93
"223","692207d70f","4eff1c1469","cef5623670","4026885307","6b0f472ce3",1,0,3,93
"224","a62c94394a","0717a21efc","4026885307","092d7bc330","ad292a8043",1,0,3,93
"225","3e821f8642","1760bece6d","ad292a8043","","092d7bc330",1,0,3,93
"226","50fc16ff18","1cfaab36d8","","9ad3911361","ce1ed41e9a",1,0,3,93
"227","e1b367d535","8eaa59df0a","ce1ed41e9a","fb131f3cd5","9ad3911361",1,0,3,93
"228","aafaaa68d6","309a8f9f4b","9ad3911361","193f8f285e","fb131f3cd5",1,0,3,93
"229","b959545cfc","cfc651fc58","fb131f3cd5","5987f0b196","193f8f285e",1,0,3,93
"230","2a44b1aa4c","cb79c2c1e3","193f8f285e","e2f17cf732","5987f0b196",1,0,3,93
"231","cef5623670","ab647410b9","5987f0b196","4eff1c1469","e2f17cf732",1,0,3,93
"232","6b0f472ce3","81fd475861","e2f17cf732","9efa93ff14","4eff1c1469",1,0,3,93
"233","ad292a8043","f4e6470f2b","9efa93ff14","1760bece6d","0717a21efc",1,0,3,93
"234","092d7bc330","6420ece709","0717a21efc","","1760bece6d",1,0,3,93
"235","ce1ed41e9a","de091953f9","","8eaa59df0a","1cfaab36d8",1,0,3,93
"236","9ad3911361","","1cfaab36d8","309a8f9f4b","8eaa59df0a",1,0,3,93
"237","fb131f3cd5","d7a53f942a","8eaa59df0a","cfc651fc58","309a8f9f4b",1,0,3,93
"238","193f8f285e","fd119c8d2f","309a8f9f4b","cb79c2c1e3","cfc651fc58",1,0,3,93
"239","5987f0b196","f06a2c2849","cfc651fc58","ab647410b9","cb79c2c1e3",1,0,3,93
"240","e2f17cf732","4d119162bf","cb79c2c1e3","81fd475861","ab647410b9",1,0,3,93
"241","4eff1c1469","482e5face0","ab647410b9","e981a42d6e","81fd475861",1,0,3,93
"242","0717a21efc","b3c8b426fb","e981a42d6e","6420ece709","f4e6470f2b",1,0,3,93
"243","1760bece6d","","f4e6470f2b","","6420ece709",1,0,3,93
"244","309a8f9f4b","fa87eb3962","","fd119c8d2f","d7a53f942a",1,0,3,93
"245","cfc651fc58","85fe6c5bde","d7a53f942a","f06a2c2849","fd119c8d2f",1,0,3,93
"246","cb79c2c1e3","90c830116a","fd119c8d2f","4d119162bf","f06a2c2849",1,0,3,93
"247","ab647410b9","","f06a2c2849","482e5face0","4d119162bf",1,0,3,93
"248","81fd475861","70b3951b2f","4d119162bf","4e50c41f4e","482e5face0",1,0,3,93
"249","f4e6470f2b","8f8dcb2506","4e50c41f4e","","b3c8b426fb",1,0,3,93
"250","482e5face0","e50212245b","","9834bd4034","70b3951b2f",1,0,3,93
"251","b3c8b426fb","5b72ade49e","9834bd4034","50b9046e67","8f8dcb2506",1,0,3,93
"252","","a708e52d7c","8f8dcb2506","","50b9046e67",1,0,3,93
"253","cff78ba6f7","a0e0452f1c","","5663471396","8d8b3c36cd",1,0,3,93
"254","174789f4b8","72ef4718f3","8d8b3c36cd","1d93cf8169","5663471396",1,0,3,93
"255","fa87eb3962","89daaf02d5","5663471396","5b1a3faaa8","1d93cf8169",1,0,3,93
"256","85fe6c5bde","aaffa385df","1d93cf8169","1fd2701517","5b1a3faaa8",1,0,3,93
"257","90c830116a","28b3d997ce","5b1a3faaa8","86f7134adf","1fd2701517",1,0,3,93
"258","","b4e067c10e","1fd2701517","e50212245b","86f7134adf",1,0,3,93
"259","70b3951b2f","fc1b10ee80","86f7134adf","76ea2b7366","e50212245b",1,0,3,93
"260","8f8dcb2506","43b65acf38","76ea2b7366","a708e52d7c","5b72ade49e",1,0,3,93
"261","50b9046e67","18cd36e491","5b72ade49e","","a708e52d7c",1,0,3,93
"262","8d8b3c36cd","d96af7c9cc","","72ef4718f3","a0e0452f1c",1,0,3,93
"263","5663471396","8561c63d20","a0e0452f1c","89daaf02d5","72ef4718f3",1,0,3,93
"264","1d93cf8169","ce54f2defa","72ef4718f3","aaffa385df","89daaf02d5",1,0,3,93
"265","5b1a3faaa8","91eca562cd","89daaf02d5","28b3d997ce","aaffa385df",1,0,3,93
"266","1fd2701517","280c59adc5","aaffa385df","b4e067c10e","28b3d997ce",1,0,3,93
"267","86f7134adf","48b8dda801","28b3d997ce","fc1b10ee80","b4e067c10e",1,0,3,93
"268","e50212245b","cb9d510ceb","b4e067c10e","80363d0458","fc1b10ee80",1,0,3,93
"269","5b72ade49e","","80363d0458","18cd36e491","43b65acf38",1,0,3,93
"270","a708e52d7c","f0633e8b86","43b65acf38","","18cd36e491",1,0,3,93
"271","8561c63d20","","","2620ab7aa2","d7eb8b4a95",1,0,3,93
"272","ce54f2defa","","d7eb8b4a95","14fecd67d2","2620ab7aa2",1,0,3,93
"273","91eca562cd","","2620ab7aa2","1825fadf99","14fecd67d2",1,0,3,93
"274","280c59adc5","","14fecd67d2","90364abd01","1825fadf99",1,0,3,93
"275","48b8dda801","","1825fadf99","bebae78c6a","90364abd01",1,0,3,93
"276","cb9d510ceb","","90364abd01","45a04b7102","bebae78c6a",1,0,3,93
"277","1cfaab36d8","cff78ba6f7","","","de091953f9",1,0,3,93
"278","de091953f9","8d8b3c36cd","","174789f4b8","cff78ba6f7",1,0,3,93
"279","","5663471396","cff78ba6f7","fa87eb3962","174789f4b8",1,0,3,93
"280","d7a53f942a","1d93cf8169","174789f4b8","85fe6c5bde","fa87eb3962",1,0,3,93
"281","fd119c8d2f","5b1a3faaa8","fa87eb3962","90c830116a","85fe6c5bde",1,0,3,93
"282","f06a2c2849","1fd2701517","85fe6c5bde","","90c830116a",1,0,3,93
"283","18cd36e491","","","","f0633e8b86",1,0,3,93
"284","77f0e55398","db275a11fb","0bf3bff34d","7784c83371","4279e747a0",1,0,4,93
"285","","c999ea6eb4","961c64fe51","201c2f346a","fcdf222153",1,0,4,93
"286","fcdf222153","b969a65d69","27dc4eed59","7ebbf0b3dc","c999ea6eb4",1,0,4,93
"287","c999ea6eb4","58edb9b58c","b94052b389","f68b35ebd2","b969a65d69",1,0,4,93
"288","b969a65d69","ce96b58bee","4c4d0194fc","68d00224e0","58edb9b58c",1,0,4,93
"289","58edb9b58c","2da8adf16a","20b784c31b","14c7a48dad","ce96b58bee",1,0,4,93
"290","ce96b58bee","1b818ee74a","a1196a546e","5256861a31","2da8adf16a",1,0,4,93
"291","2da8adf16a","6092afaec7","5ba442f1cf","addbeb160c","1b818ee74a",1,0,4,93
"292","1b818ee74a","71d34fc906","f33da3a50f","ee5c6d6639","6092afaec7",1,0,4,93
"293","6092afaec7","50fa8bbc7e","64e050f295","feb2c6a00c","71d34fc906",1,0,4,93
"294","71d34fc906","389e82d252","73eb023f31","389ceae5ba","50fa8bbc7e",1,0,4,93
"295","50fa8bbc7e","77f0e55398","","817dc95214","389e82d252",1,0,4,93
"296","389e82d252","4279e747a0","d27b85e7c0","0176d2ace5","77f0e55398",1,0,4,93
"297","4279e747a0","","5394f6a4e9","e19316acc4","db275a11fb",1,0,4,93
"298","3614095a0e","95e69499a8","","b0a18e86c7","1b2c24dfdb",1,0,4,93
"299","8bf21420ad","da84ed2423","1b2c24dfdb","0bf3bff34d","b0a18e86c7",1,0,4,93
"300","d27b85e7c0","5394f6a4e9","b0a18e86c7","4279e747a0","0bf3bff34d",1,0,4,93
"301","0176d2ace5","e19316acc4","4279e747a0","79e870db52","7784c83371",1,0,4,93
